"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(31:1) DG(14:1_17:0)",570.5093,535.4722,327.2894,283.2268,209.19,253.2526,191.1795,235.2421,265.2163,309.2789
"DG(31:2) DG(14:1_17:1)",568.4936,533.4565,325.2737,283.2268,209.19,251.2369,191.1795,233.2264,265.2163,307.2632
"DG(31:3) DG(14:1_17:2)",566.478,531.4409,323.2581,283.2268,209.19,249.2213,191.1795,231.2108,265.2163,305.2476
"DG(32:1) DG(14:1_18:0)",584.5249,549.4878,341.305,283.2268,209.19,267.2682,191.1795,249.2577,265.2163,323.2945
"DG(32:2) DG(14:1_18:1)",582.5093,547.4722,339.2894,283.2268,209.19,265.2526,191.1795,247.2421,265.2163,321.2789
"DG(32:3) DG(14:1_18:2)",580.4936,545.4565,337.2737,283.2268,209.19,263.2369,191.1795,245.2264,265.2163,319.2632
"DG(32:4) DG(14:1_18:3)",578.478,543.4409,335.2581,283.2268,209.19,261.2213,191.1795,243.2108,265.2163,317.2476
"DG(32:5) DG(14:1_18:4)",576.4623,541.4252,333.2424,283.2268,209.19,259.2056,191.1795,241.1951,265.2163,315.2319
"DG(33:1) DG(14:1_19:0)",598.5406,563.5035,355.3207,283.2268,209.19,281.2839,191.1795,263.2734,265.2163,337.3102
"DG(34:1) DG(14:1_20:0)",612.5562,577.5191,369.3363,283.2268,209.19,295.2995,191.1795,277.289,265.2163,351.3258
"DG(34:2) DG(14:1_20:1)",610.5406,575.5035,367.3207,283.2268,209.19,293.2839,191.1795,275.2734,265.2163,349.3102
"DG(34:3) DG(14:1_20:2)",608.5249,573.4878,365.305,283.2268,209.19,291.2682,191.1795,273.2577,265.2163,347.2945
"DG(34:4) DG(14:1_20:3)",606.5093,571.4722,363.2894,283.2268,209.19,289.2526,191.1795,271.2421,265.2163,345.2789
"DG(34:5) DG(14:1_20:4)",604.4936,569.4565,361.2737,283.2268,209.19,287.2369,191.1795,269.2264,265.2163,343.2632
"DG(34:6) DG(14:1_20:5)",602.478,567.4409,359.2581,283.2268,209.19,285.2213,191.1795,267.2108,265.2163,341.2476
"DG(35:1) DG(14:1_21:0)",626.5719,591.5348,383.352,283.2268,209.19,309.3152,191.1795,291.3047,265.2163,365.3415
"DG(36:1) DG(14:1_22:0)",640.5875,605.5504,397.3676,283.2268,209.19,323.3308,191.1795,305.3203,265.2163,379.3571
"DG(36:2) DG(14:1_22:1)",638.5719,603.5348,395.352,283.2268,209.19,321.3152,191.1795,303.3047,265.2163,377.3415
"DG(36:3) DG(14:1_22:2)",636.5562,601.5191,393.3363,283.2268,209.19,319.2995,191.1795,301.289,265.2163,375.3258
"DG(36:4) DG(14:1_22:3)",634.5406,599.5035,391.3207,283.2268,209.19,317.2839,191.1795,299.2734,265.2163,373.3102
"DG(36:5) DG(14:1_22:4)",632.5249,597.4878,389.305,283.2268,209.19,315.2682,191.1795,297.2577,265.2163,371.2945
"DG(36:6) DG(14:1_22:5)",630.5093,595.4722,387.2894,283.2268,209.19,313.2526,191.1795,295.2421,265.2163,369.2789
"DG(36:7) DG(14:1_22:6)",628.4936,593.4565,385.2737,283.2268,209.19,311.2369,191.1795,293.2264,265.2163,367.2632
"DG(37:1) DG(14:1_23:0)",654.6032,619.5661,411.3833,283.2268,209.19,337.3465,191.1795,319.336,265.2163,393.3728
"DG(38:1) DG(14:1_24:0)",668.6188,633.5817,425.3989,283.2268,209.19,351.3621,191.1795,333.3516,265.2163,407.3884
"DG(38:2) DG(14:1_24:1)",666.6032,631.5661,423.3833,283.2268,209.19,349.3465,191.1795,331.336,265.2163,405.3728
"DG(39:1) DG(14:1_25:0)",682.6345,647.5974,439.4146,283.2268,209.19,365.3778,191.1795,347.3673,265.2163,421.4041
"DG(40:1) DG(14:1_26:0)",696.6501,661.613,453.4302,283.2268,209.19,379.3934,191.1795,361.3829,265.2163,435.4197
"DG(30:0) DG(15:0_15:0)",558.5093,523.4722,299.2581,299.2581,225.2213,225.2213,207.2108,207.2108,281.2476,281.2476
"DG(30:1) DG(15:0_15:1)",556.4936,521.4565,297.2424,299.2581,225.2213,223.2056,207.2108,205.1951,281.2476,279.2319
"DG(31:0) DG(15:0_16:0)",572.5249,537.4878,313.2737,299.2581,225.2213,239.2369,207.2108,221.2264,281.2476,295.2632
"DG(31:1) DG(15:0_16:1)",570.5093,535.4722,311.2581,299.2581,225.2213,237.2213,207.2108,219.2108,281.2476,293.2476
"DG(32:0) DG(15:0_17:0)",586.5406,551.5035,327.2894,299.2581,225.2213,253.2526,207.2108,235.2421,281.2476,309.2789
"DG(32:1) DG(15:0_17:1)",584.5249,549.4878,325.2737,299.2581,225.2213,251.2369,207.2108,233.2264,281.2476,307.2632
"DG(32:2) DG(15:0_17:2)",582.5093,547.4722,323.2581,299.2581,225.2213,249.2213,207.2108,231.2108,281.2476,305.2476
"DG(33:0) DG(15:0_18:0)",600.5562,565.5191,341.305,299.2581,225.2213,267.2682,207.2108,249.2577,281.2476,323.2945
"DG(33:1) DG(15:0_18:1)",598.5406,563.5035,339.2894,299.2581,225.2213,265.2526,207.2108,247.2421,281.2476,321.2789
"DG(33:2) DG(15:0_18:2)",596.5249,561.4878,337.2737,299.2581,225.2213,263.2369,207.2108,245.2264,281.2476,319.2632
"DG(33:3) DG(15:0_18:3)",594.5093,559.4722,335.2581,299.2581,225.2213,261.2213,207.2108,243.2108,281.2476,317.2476
"DG(33:4) DG(15:0_18:4)",592.4936,557.4565,333.2424,299.2581,225.2213,259.2056,207.2108,241.1951,281.2476,315.2319
"DG(34:0) DG(15:0_19:0)",614.5719,579.5348,355.3207,299.2581,225.2213,281.2839,207.2108,263.2734,281.2476,337.3102
"DG(35:0) DG(15:0_20:0)",628.5875,593.5504,369.3363,299.2581,225.2213,295.2995,207.2108,277.289,281.2476,351.3258
"DG(35:1) DG(15:0_20:1)",626.5719,591.5348,367.3207,299.2581,225.2213,293.2839,207.2108,275.2734,281.2476,349.3102
"DG(35:2) DG(15:0_20:2)",624.5562,589.5191,365.305,299.2581,225.2213,291.2682,207.2108,273.2577,281.2476,347.2945
"DG(35:3) DG(15:0_20:3)",622.5406,587.5035,363.2894,299.2581,225.2213,289.2526,207.2108,271.2421,281.2476,345.2789
"DG(35:4) DG(15:0_20:4)",620.5249,585.4878,361.2737,299.2581,225.2213,287.2369,207.2108,269.2264,281.2476,343.2632
"DG(35:5) DG(15:0_20:5)",618.5093,583.4722,359.2581,299.2581,225.2213,285.2213,207.2108,267.2108,281.2476,341.2476
"DG(36:0) DG(15:0_21:0)",642.6032,607.5661,383.352,299.2581,225.2213,309.3152,207.2108,291.3047,281.2476,365.3415
"DG(37:0) DG(15:0_22:0)",656.6188,621.5817,397.3676,299.2581,225.2213,323.3308,207.2108,305.3203,281.2476,379.3571
"DG(37:1) DG(15:0_22:1)",654.6032,619.5661,395.352,299.2581,225.2213,321.3152,207.2108,303.3047,281.2476,377.3415
"DG(37:2) DG(15:0_22:2)",652.5875,617.5504,393.3363,299.2581,225.2213,319.2995,207.2108,301.289,281.2476,375.3258
"DG(37:3) DG(15:0_22:3)",650.5719,615.5348,391.3207,299.2581,225.2213,317.2839,207.2108,299.2734,281.2476,373.3102
"DG(37:4) DG(15:0_22:4)",648.5562,613.5191,389.305,299.2581,225.2213,315.2682,207.2108,297.2577,281.2476,371.2945
"DG(37:5) DG(15:0_22:5)",646.5406,611.5035,387.2894,299.2581,225.2213,313.2526,207.2108,295.2421,281.2476,369.2789
"DG(37:6) DG(15:0_22:6)",644.5249,609.4878,385.2737,299.2581,225.2213,311.2369,207.2108,293.2264,281.2476,367.2632
"DG(38:0) DG(15:0_23:0)",670.6345,635.5974,411.3833,299.2581,225.2213,337.3465,207.2108,319.336,281.2476,393.3728
"DG(39:0) DG(15:0_24:0)",684.6501,649.613,425.3989,299.2581,225.2213,351.3621,207.2108,333.3516,281.2476,407.3884
"DG(39:1) DG(15:0_24:1)",682.6345,647.5974,423.3833,299.2581,225.2213,349.3465,207.2108,331.336,281.2476,405.3728
"DG(40:0) DG(15:0_25:0)",698.6658,663.6287,439.4146,299.2581,225.2213,365.3778,207.2108,347.3673,281.2476,421.4041
"DG(41:0) DG(15:0_26:0)",712.6814,677.6443,453.4302,299.2581,225.2213,379.3934,207.2108,361.3829,281.2476,435.4197
"DG(30:2) DG(15:1_15:1)",554.4779,519.4408,297.2424,297.2424,223.2056,223.2056,205.1951,205.1951,279.2319,279.2319
"DG(31:1) DG(15:1_16:0)",570.5092,535.4721,313.2737,297.2424,223.2056,239.2369,205.1951,221.2264,279.2319,295.2632
"DG(31:2) DG(15:1_16:1)",568.4936,533.4565,311.2581,297.2424,223.2056,237.2213,205.1951,219.2108,279.2319,293.2476
"DG(32:1) DG(15:1_17:0)",584.5249,549.4878,327.2894,297.2424,223.2056,253.2526,205.1951,235.2421,279.2319,309.2789
"DG(32:2) DG(15:1_17:1)",582.5092,547.4721,325.2737,297.2424,223.2056,251.2369,205.1951,233.2264,279.2319,307.2632
"DG(32:3) DG(15:1_17:2)",580.4936,545.4565,323.2581,297.2424,223.2056,249.2213,205.1951,231.2108,279.2319,305.2476
"DG(33:1) DG(15:1_18:0)",598.5405,563.5034,341.305,297.2424,223.2056,267.2682,205.1951,249.2577,279.2319,323.2945
"DG(33:2) DG(15:1_18:1)",596.5249,561.4878,339.2894,297.2424,223.2056,265.2526,205.1951,247.2421,279.2319,321.2789
"DG(33:3) DG(15:1_18:2)",594.5092,559.4721,337.2737,297.2424,223.2056,263.2369,205.1951,245.2264,279.2319,319.2632
"DG(33:4) DG(15:1_18:3)",592.4936,557.4565,335.2581,297.2424,223.2056,261.2213,205.1951,243.2108,279.2319,317.2476
"DG(33:5) DG(15:1_18:4)",590.4779,555.4408,333.2424,297.2424,223.2056,259.2056,205.1951,241.1951,279.2319,315.2319
"DG(34:1) DG(15:1_19:0)",612.5562,577.5191,355.3207,297.2424,223.2056,281.2839,205.1951,263.2734,279.2319,337.3102
"DG(35:1) DG(15:1_20:0)",626.5718,591.5347,369.3363,297.2424,223.2056,295.2995,205.1951,277.289,279.2319,351.3258
"DG(35:2) DG(15:1_20:1)",624.5562,589.5191,367.3207,297.2424,223.2056,293.2839,205.1951,275.2734,279.2319,349.3102
"DG(35:3) DG(15:1_20:2)",622.5405,587.5034,365.305,297.2424,223.2056,291.2682,205.1951,273.2577,279.2319,347.2945
"DG(35:4) DG(15:1_20:3)",620.5249,585.4878,363.2894,297.2424,223.2056,289.2526,205.1951,271.2421,279.2319,345.2789
"DG(35:5) DG(15:1_20:4)",618.5092,583.4721,361.2737,297.2424,223.2056,287.2369,205.1951,269.2264,279.2319,343.2632
"DG(35:6) DG(15:1_20:5)",616.4936,581.4565,359.2581,297.2424,223.2056,285.2213,205.1951,267.2108,279.2319,341.2476
"DG(36:1) DG(15:1_21:0)",640.5875,605.5504,383.352,297.2424,223.2056,309.3152,205.1951,291.3047,279.2319,365.3415
"DG(37:1) DG(15:1_22:0)",654.6031,619.566,397.3676,297.2424,223.2056,323.3308,205.1951,305.3203,279.2319,379.3571
"DG(37:2) DG(15:1_22:1)",652.5875,617.5504,395.352,297.2424,223.2056,321.3152,205.1951,303.3047,279.2319,377.3415
"DG(37:3) DG(15:1_22:2)",650.5718,615.5347,393.3363,297.2424,223.2056,319.2995,205.1951,301.289,279.2319,375.3258
"DG(37:4) DG(15:1_22:3)",648.5562,613.5191,391.3207,297.2424,223.2056,317.2839,205.1951,299.2734,279.2319,373.3102
"DG(37:5) DG(15:1_22:4)",646.5405,611.5034,389.305,297.2424,223.2056,315.2682,205.1951,297.2577,279.2319,371.2945
"DG(37:6) DG(15:1_22:5)",644.5249,609.4878,387.2894,297.2424,223.2056,313.2526,205.1951,295.2421,279.2319,369.2789
"DG(37:7) DG(15:1_22:6)",642.5092,607.4721,385.2737,297.2424,223.2056,311.2369,205.1951,293.2264,279.2319,367.2632
"DG(38:1) DG(15:1_23:0)",668.6188,633.5817,411.3833,297.2424,223.2056,337.3465,205.1951,319.336,279.2319,393.3728
"DG(39:1) DG(15:1_24:0)",682.6344,647.5973,425.3989,297.2424,223.2056,351.3621,205.1951,333.3516,279.2319,407.3884
"DG(39:2) DG(15:1_24:1)",680.6188,645.5817,423.3833,297.2424,223.2056,349.3465,205.1951,331.336,279.2319,405.3728
"DG(40:1) DG(15:1_25:0)",696.6501,661.613,439.4146,297.2424,223.2056,365.3778,205.1951,347.3673,279.2319,421.4041
"DG(41:1) DG(15:1_26:0)",710.6657,675.6286,453.4302,297.2424,223.2056,379.3934,205.1951,361.3829,279.2319,435.4197
"DG(32:0) DG(16:0_16:0)",586.5405,551.5034,313.2737,313.2737,239.2369,239.2369,221.2264,221.2264,295.2632,295.2632
"DG(32:1) DG(16:0_16:1)",584.5249,549.4878,311.2581,313.2737,239.2369,237.2213,221.2264,219.2108,295.2632,293.2476
"DG(33:0) DG(16:0_17:0)",600.5562,565.5191,327.2894,313.2737,239.2369,253.2526,221.2264,235.2421,295.2632,309.2789
"DG(33:1) DG(16:0_17:1)",598.5405,563.5034,325.2737,313.2737,239.2369,251.2369,221.2264,233.2264,295.2632,307.2632
"DG(33:2) DG(16:0_17:2)",596.5249,561.4878,323.2581,313.2737,239.2369,249.2213,221.2264,231.2108,295.2632,305.2476
"DG(34:0) DG(16:0_18:0)",614.5718,579.5347,341.305,313.2737,239.2369,267.2682,221.2264,249.2577,295.2632,323.2945
"DG(34:1) DG(16:0_18:1)",612.5562,577.5191,339.2894,313.2737,239.2369,265.2526,221.2264,247.2421,295.2632,321.2789
"DG(34:2) DG(16:0_18:2)",610.5405,575.5034,337.2737,313.2737,239.2369,263.2369,221.2264,245.2264,295.2632,319.2632
"DG(34:3) DG(16:0_18:3)",608.5249,573.4878,335.2581,313.2737,239.2369,261.2213,221.2264,243.2108,295.2632,317.2476
"DG(34:4) DG(16:0_18:4)",606.5092,571.4721,333.2424,313.2737,239.2369,259.2056,221.2264,241.1951,295.2632,315.2319
"DG(35:0) DG(16:0_19:0)",628.5875,593.5504,355.3207,313.2737,239.2369,281.2839,221.2264,263.2734,295.2632,337.3102
"DG(36:0) DG(16:0_20:0)",642.6031,607.566,369.3363,313.2737,239.2369,295.2995,221.2264,277.289,295.2632,351.3258
"DG(36:1) DG(16:0_20:1)",640.5875,605.5504,367.3207,313.2737,239.2369,293.2839,221.2264,275.2734,295.2632,349.3102
"DG(36:2) DG(16:0_20:2)",638.5718,603.5347,365.305,313.2737,239.2369,291.2682,221.2264,273.2577,295.2632,347.2945
"DG(36:3) DG(16:0_20:3)",636.5562,601.5191,363.2894,313.2737,239.2369,289.2526,221.2264,271.2421,295.2632,345.2789
"DG(36:4) DG(16:0_20:4)",634.5405,599.5034,361.2737,313.2737,239.2369,287.2369,221.2264,269.2264,295.2632,343.2632
"DG(36:5) DG(16:0_20:5)",632.5249,597.4878,359.2581,313.2737,239.2369,285.2213,221.2264,267.2108,295.2632,341.2476
"DG(37:0) DG(16:0_21:0)",656.6188,621.5817,383.352,313.2737,239.2369,309.3152,221.2264,291.3047,295.2632,365.3415
"DG(38:0) DG(16:0_22:0)",670.6344,635.5973,397.3676,313.2737,239.2369,323.3308,221.2264,305.3203,295.2632,379.3571
"DG(38:1) DG(16:0_22:1)",668.6188,633.5817,395.352,313.2737,239.2369,321.3152,221.2264,303.3047,295.2632,377.3415
"DG(38:2) DG(16:0_22:2)",666.6031,631.566,393.3363,313.2737,239.2369,319.2995,221.2264,301.289,295.2632,375.3258
"DG(38:3) DG(16:0_22:3)",664.5875,629.5504,391.3207,313.2737,239.2369,317.2839,221.2264,299.2734,295.2632,373.3102
"DG(38:4) DG(16:0_22:4)",662.5718,627.5347,389.305,313.2737,239.2369,315.2682,221.2264,297.2577,295.2632,371.2945
"DG(38:5) DG(16:0_22:5)",660.5562,625.5191,387.2894,313.2737,239.2369,313.2526,221.2264,295.2421,295.2632,369.2789
"DG(38:6) DG(16:0_22:6)",658.5405,623.5034,385.2737,313.2737,239.2369,311.2369,221.2264,293.2264,295.2632,367.2632
"DG(39:0) DG(16:0_23:0)",684.6501,649.613,411.3833,313.2737,239.2369,337.3465,221.2264,319.336,295.2632,393.3728
"DG(40:0) DG(16:0_24:0)",698.6657,663.6286,425.3989,313.2737,239.2369,351.3621,221.2264,333.3516,295.2632,407.3884
"DG(40:1) DG(16:0_24:1)",696.6501,661.613,423.3833,313.2737,239.2369,349.3465,221.2264,331.336,295.2632,405.3728
"DG(41:0) DG(16:0_25:0)",712.6814,677.6443,439.4146,313.2737,239.2369,365.3778,221.2264,347.3673,295.2632,421.4041
"DG(42:0) DG(16:0_26:0)",726.697,691.6599,453.4302,313.2737,239.2369,379.3934,221.2264,361.3829,295.2632,435.4197
"DG(32:2) DG(16:1_16:1)",582.5093,547.4722,311.2581,311.2581,237.2213,237.2213,219.2108,219.2108,293.2476,293.2476
"DG(33:1) DG(16:1_17:0)",598.5406,563.5035,327.2894,311.2581,237.2213,253.2526,219.2108,235.2421,293.2476,309.2789
"DG(33:2) DG(16:1_17:1)",596.5249,561.4878,325.2737,311.2581,237.2213,251.2369,219.2108,233.2264,293.2476,307.2632
"DG(33:3) DG(16:1_17:2)",594.5093,559.4722,323.2581,311.2581,237.2213,249.2213,219.2108,231.2108,293.2476,305.2476
"DG(34:1) DG(16:1_18:0)",612.5562,577.5191,341.305,311.2581,237.2213,267.2682,219.2108,249.2577,293.2476,323.2945
"DG(34:2) DG(16:1_18:1)",610.5406,575.5035,339.2894,311.2581,237.2213,265.2526,219.2108,247.2421,293.2476,321.2789
"DG(34:3) DG(16:1_18:2)",608.5249,573.4878,337.2737,311.2581,237.2213,263.2369,219.2108,245.2264,293.2476,319.2632
"DG(34:4) DG(16:1_18:3)",606.5093,571.4722,335.2581,311.2581,237.2213,261.2213,219.2108,243.2108,293.2476,317.2476
"DG(34:5) DG(16:1_18:4)",604.4936,569.4565,333.2424,311.2581,237.2213,259.2056,219.2108,241.1951,293.2476,315.2319
"DG(35:1) DG(16:1_19:0)",626.5719,591.5348,355.3207,311.2581,237.2213,281.2839,219.2108,263.2734,293.2476,337.3102
"DG(36:1) DG(16:1_20:0)",640.5875,605.5504,369.3363,311.2581,237.2213,295.2995,219.2108,277.289,293.2476,351.3258
"DG(36:2) DG(16:1_20:1)",638.5719,603.5348,367.3207,311.2581,237.2213,293.2839,219.2108,275.2734,293.2476,349.3102
"DG(36:3) DG(16:1_20:2)",636.5562,601.5191,365.305,311.2581,237.2213,291.2682,219.2108,273.2577,293.2476,347.2945
"DG(36:4) DG(16:1_20:3)",634.5406,599.5035,363.2894,311.2581,237.2213,289.2526,219.2108,271.2421,293.2476,345.2789
"DG(36:5) DG(16:1_20:4)",632.5249,597.4878,361.2737,311.2581,237.2213,287.2369,219.2108,269.2264,293.2476,343.2632
"DG(36:6) DG(16:1_20:5)",630.5093,595.4722,359.2581,311.2581,237.2213,285.2213,219.2108,267.2108,293.2476,341.2476
"DG(37:1) DG(16:1_21:0)",654.6032,619.5661,383.352,311.2581,237.2213,309.3152,219.2108,291.3047,293.2476,365.3415
"DG(38:1) DG(16:1_22:0)",668.6188,633.5817,397.3676,311.2581,237.2213,323.3308,219.2108,305.3203,293.2476,379.3571
"DG(38:2) DG(16:1_22:1)",666.6032,631.5661,395.352,311.2581,237.2213,321.3152,219.2108,303.3047,293.2476,377.3415
"DG(38:3) DG(16:1_22:2)",664.5875,629.5504,393.3363,311.2581,237.2213,319.2995,219.2108,301.289,293.2476,375.3258
"DG(38:4) DG(16:1_22:3)",662.5719,627.5348,391.3207,311.2581,237.2213,317.2839,219.2108,299.2734,293.2476,373.3102
"DG(38:5) DG(16:1_22:4)",660.5562,625.5191,389.305,311.2581,237.2213,315.2682,219.2108,297.2577,293.2476,371.2945
"DG(38:6) DG(16:1_22:5)",658.5406,623.5035,387.2894,311.2581,237.2213,313.2526,219.2108,295.2421,293.2476,369.2789
"DG(38:7) DG(16:1_22:6)",656.5249,621.4878,385.2737,311.2581,237.2213,311.2369,219.2108,293.2264,293.2476,367.2632
"DG(39:1) DG(16:1_23:0)",682.6345,647.5974,411.3833,311.2581,237.2213,337.3465,219.2108,319.336,293.2476,393.3728
"DG(40:1) DG(16:1_24:0)",696.6501,661.613,425.3989,311.2581,237.2213,351.3621,219.2108,333.3516,293.2476,407.3884
"DG(40:2) DG(16:1_24:1)",694.6345,659.5974,423.3833,311.2581,237.2213,349.3465,219.2108,331.336,293.2476,405.3728
"DG(41:1) DG(16:1_25:0)",710.6658,675.6287,439.4146,311.2581,237.2213,365.3778,219.2108,347.3673,293.2476,421.4041
"DG(42:1) DG(16:1_26:0)",724.6814,689.6443,453.4302,311.2581,237.2213,379.3934,219.2108,361.3829,293.2476,435.4197
"DG(34:0) DG(17:0_17:0)",614.5719,579.5348,327.2894,327.2894,253.2526,253.2526,235.2421,235.2421,309.2789,309.2789
"DG(34:1) DG(17:0_17:1)",612.5562,577.5191,325.2737,327.2894,253.2526,251.2369,235.2421,233.2264,309.2789,307.2632
"DG(34:2) DG(17:0_17:2)",610.5406,575.5035,323.2581,327.2894,253.2526,249.2213,235.2421,231.2108,309.2789,305.2476
"DG(35:0) DG(17:0_18:0)",628.5875,593.5504,341.305,327.2894,253.2526,267.2682,235.2421,249.2577,309.2789,323.2945
"DG(35:1) DG(17:0_18:1)",626.5719,591.5348,339.2894,327.2894,253.2526,265.2526,235.2421,247.2421,309.2789,321.2789
"DG(35:2) DG(17:0_18:2)",624.5562,589.5191,337.2737,327.2894,253.2526,263.2369,235.2421,245.2264,309.2789,319.2632
"DG(35:3) DG(17:0_18:3)",622.5406,587.5035,335.2581,327.2894,253.2526,261.2213,235.2421,243.2108,309.2789,317.2476
"DG(35:4) DG(17:0_18:4)",620.5249,585.4878,333.2424,327.2894,253.2526,259.2056,235.2421,241.1951,309.2789,315.2319
"DG(36:0) DG(17:0_19:0)",642.6032,607.5661,355.3207,327.2894,253.2526,281.2839,235.2421,263.2734,309.2789,337.3102
"DG(37:0) DG(17:0_20:0)",656.6188,621.5817,369.3363,327.2894,253.2526,295.2995,235.2421,277.289,309.2789,351.3258
"DG(37:1) DG(17:0_20:1)",654.6032,619.5661,367.3207,327.2894,253.2526,293.2839,235.2421,275.2734,309.2789,349.3102
"DG(37:2) DG(17:0_20:2)",652.5875,617.5504,365.305,327.2894,253.2526,291.2682,235.2421,273.2577,309.2789,347.2945
"DG(37:3) DG(17:0_20:3)",650.5719,615.5348,363.2894,327.2894,253.2526,289.2526,235.2421,271.2421,309.2789,345.2789
"DG(37:4) DG(17:0_20:4)",648.5562,613.5191,361.2737,327.2894,253.2526,287.2369,235.2421,269.2264,309.2789,343.2632
"DG(37:5) DG(17:0_20:5)",646.5406,611.5035,359.2581,327.2894,253.2526,285.2213,235.2421,267.2108,309.2789,341.2476
"DG(38:0) DG(17:0_21:0)",670.6345,635.5974,383.352,327.2894,253.2526,309.3152,235.2421,291.3047,309.2789,365.3415
"DG(39:0) DG(17:0_22:0)",684.6501,649.613,397.3676,327.2894,253.2526,323.3308,235.2421,305.3203,309.2789,379.3571
"DG(39:1) DG(17:0_22:1)",682.6345,647.5974,395.352,327.2894,253.2526,321.3152,235.2421,303.3047,309.2789,377.3415
"DG(39:2) DG(17:0_22:2)",680.6188,645.5817,393.3363,327.2894,253.2526,319.2995,235.2421,301.289,309.2789,375.3258
"DG(39:3) DG(17:0_22:3)",678.6032,643.5661,391.3207,327.2894,253.2526,317.2839,235.2421,299.2734,309.2789,373.3102
"DG(39:4) DG(17:0_22:4)",676.5875,641.5504,389.305,327.2894,253.2526,315.2682,235.2421,297.2577,309.2789,371.2945
"DG(39:5) DG(17:0_22:5)",674.5719,639.5348,387.2894,327.2894,253.2526,313.2526,235.2421,295.2421,309.2789,369.2789
"DG(39:6) DG(17:0_22:6)",672.5562,637.5191,385.2737,327.2894,253.2526,311.2369,235.2421,293.2264,309.2789,367.2632
"DG(40:0) DG(17:0_23:0)",698.6658,663.6287,411.3833,327.2894,253.2526,337.3465,235.2421,319.336,309.2789,393.3728
"DG(41:0) DG(17:0_24:0)",712.6814,677.6443,425.3989,327.2894,253.2526,351.3621,235.2421,333.3516,309.2789,407.3884
"DG(41:1) DG(17:0_24:1)",710.6658,675.6287,423.3833,327.2894,253.2526,349.3465,235.2421,331.336,309.2789,405.3728
"DG(42:0) DG(17:0_25:0)",726.6971,691.66,439.4146,327.2894,253.2526,365.3778,235.2421,347.3673,309.2789,421.4041
"DG(43:0) DG(17:0_26:0)",740.7127,705.6756,453.4302,327.2894,253.2526,379.3934,235.2421,361.3829,309.2789,435.4197
"DG(34:2) DG(17:1_17:1)",610.5405,575.5034,325.2737,325.2737,251.2369,251.2369,233.2264,233.2264,307.2632,307.2632
"DG(34:3) DG(17:1_17:2)",608.5249,573.4878,323.2581,325.2737,251.2369,249.2213,233.2264,231.2108,307.2632,305.2476
"DG(35:1) DG(17:1_18:0)",626.5718,591.5347,341.305,325.2737,251.2369,267.2682,233.2264,249.2577,307.2632,323.2945
"DG(35:2) DG(17:1_18:1)",624.5562,589.5191,339.2894,325.2737,251.2369,265.2526,233.2264,247.2421,307.2632,321.2789
"DG(35:3) DG(17:1_18:2)",622.5405,587.5034,337.2737,325.2737,251.2369,263.2369,233.2264,245.2264,307.2632,319.2632
"DG(35:4) DG(17:1_18:3)",620.5249,585.4878,335.2581,325.2737,251.2369,261.2213,233.2264,243.2108,307.2632,317.2476
"DG(35:5) DG(17:1_18:4)",618.5092,583.4721,333.2424,325.2737,251.2369,259.2056,233.2264,241.1951,307.2632,315.2319
