"PA","[M+H]+","[M+H-96]+","[M+H-96-acyl-sn1]+","[M+H-96-acyl-sn2]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PA(16:0) PA(8:0_8:0)",425.2299,327.25299,201.14854,201.14854,127.11175,127.11175
"PA(18:0) PA(8:0_10:0)",453.2612,355.28429,229.17984,201.14854,127.11175,155.14305
"PA(20:0) PA(8:0_12:0)",481.2925,383.31559,257.21114,201.14854,127.11175,183.17435
"PA(21:0) PA(8:0_13:0)",495.3082,397.33129,271.22684,201.14854,127.11175,197.19005
"PA(22:0) PA(8:0_14:0)",509.3238,411.34689,285.24244,201.14854,127.11175,211.20565
"PA(22:1) PA(8:0_14:1)",507.3082,409.33129,283.22684,201.14854,127.11175,209.19005
"PA(23:0) PA(8:0_15:0)",523.3395,425.36259,299.25814,201.14854,127.11175,225.22135
"PA(23:1) PA(8:0_15:1)",521.3238,423.34689,297.24244,201.14854,127.11175,223.20565
"PA(24:0) PA(8:0_16:0)",537.3551,439.37819,313.27374,201.14854,127.11175,239.23695
"PA(24:1) PA(8:0_16:1)",535.3395,437.36259,311.25814,201.14854,127.11175,237.22135
"PA(25:0) PA(8:0_17:0)",551.3708,453.39389,327.28944,201.14854,127.11175,253.25265
"PA(25:1) PA(8:0_17:1)",549.3551,451.37819,325.27374,201.14854,127.11175,251.23695
"PA(25:2) PA(8:0_17:2)",547.3395,449.36259,323.25814,201.14854,127.11175,249.22135
"PA(26:0) PA(8:0_18:0)",565.3864,467.40949,341.30504,201.14854,127.11175,267.26825
"PA(26:1) PA(8:0_18:1)",563.3708,465.39389,339.28944,201.14854,127.11175,265.25265
"PA(26:2) PA(8:0_18:2)",561.3551,463.37819,337.27374,201.14854,127.11175,263.23695
"PA(26:3) PA(8:0_18:3)",559.3395,461.36259,335.25814,201.14854,127.11175,261.22135
"PA(26:4) PA(8:0_18:4)",557.3238,459.34689,333.24244,201.14854,127.11175,259.20565
"PA(27:0) PA(8:0_19:0)",579.4021,481.42519,355.32074,201.14854,127.11175,281.28395
"PA(28:0) PA(8:0_20:0)",593.4177,495.44079,369.33634,201.14854,127.11175,295.29955
"PA(28:1) PA(8:0_20:1)",591.4021,493.42519,367.32074,201.14854,127.11175,293.28395
"PA(28:2) PA(8:0_20:2)",589.3864,491.40949,365.30504,201.14854,127.11175,291.26825
"PA(28:3) PA(8:0_20:3)",587.3708,489.39389,363.28944,201.14854,127.11175,289.25265
"PA(28:4) PA(8:0_20:4)",585.3551,487.37819,361.27374,201.14854,127.11175,287.23695
"PA(28:5) PA(8:0_20:5)",583.3395,485.36259,359.25814,201.14854,127.11175,285.22135
"PA(29:0) PA(8:0_21:0)",607.4334,509.45649,383.35204,201.14854,127.11175,309.31525
"PA(30:0) PA(8:0_22:0)",621.449,523.47209,397.36764,201.14854,127.11175,323.33085
"PA(30:1) PA(8:0_22:1)",619.4334,521.45649,395.35204,201.14854,127.11175,321.31525
"PA(30:2) PA(8:0_22:2)",617.4177,519.44079,393.33634,201.14854,127.11175,319.29955
"PA(30:3) PA(8:0_22:3)",615.4021,517.42519,391.32074,201.14854,127.11175,317.28395
"PA(30:4) PA(8:0_22:4)",613.3864,515.40949,389.30504,201.14854,127.11175,315.26825
"PA(30:5) PA(8:0_22:5)",611.3708,513.39389,387.28944,201.14854,127.11175,313.25265
"PA(30:6) PA(8:0_22:6)",609.3551,511.37819,385.27374,201.14854,127.11175,311.23695
"PA(31:0) PA(8:0_23:0)",635.4647,537.48779,411.38334,201.14854,127.11175,337.34655
"PA(32:0) PA(8:0_24:0)",649.4803,551.50339,425.39894,201.14854,127.11175,351.36215
"PA(32:1) PA(8:0_24:1)",647.4647,549.48779,423.38334,201.14854,127.11175,349.34655
"PA(33:0) PA(8:0_25:0)",663.496,565.51909,439.41464,201.14854,127.11175,365.37785
"PA(34:0) PA(8:0_26:0)",677.5116,579.53469,453.43024,201.14854,127.11175,379.39345
"PA(20:0) PA(10:0_10:0)",481.2925,383.31559,229.17984,229.17984,155.14305,155.14305
"PA(22:0) PA(10:0_12:0)",509.3238,411.34689,257.21114,229.17984,155.14305,183.17435
"PA(23:0) PA(10:0_13:0)",523.3395,425.36259,271.22684,229.17984,155.14305,197.19005
"PA(24:0) PA(10:0_14:0)",537.3551,439.37819,285.24244,229.17984,155.14305,211.20565
"PA(24:1) PA(10:0_14:1)",535.3395,437.36259,283.22684,229.17984,155.14305,209.19005
"PA(25:0) PA(10:0_15:0)",551.3708,453.39389,299.25814,229.17984,155.14305,225.22135
"PA(25:1) PA(10:0_15:1)",549.3551,451.37819,297.24244,229.17984,155.14305,223.20565
"PA(26:0) PA(10:0_16:0)",565.3864,467.40949,313.27374,229.17984,155.14305,239.23695
"PA(26:1) PA(10:0_16:1)",563.3708,465.39389,311.25814,229.17984,155.14305,237.22135
"PA(27:0) PA(10:0_17:0)",579.4021,481.42519,327.28944,229.17984,155.14305,253.25265
"PA(27:1) PA(10:0_17:1)",577.3864,479.40949,325.27374,229.17984,155.14305,251.23695
"PA(27:2) PA(10:0_17:2)",575.3708,477.39389,323.25814,229.17984,155.14305,249.22135
"PA(28:0) PA(10:0_18:0)",593.4177,495.44079,341.30504,229.17984,155.14305,267.26825
"PA(28:1) PA(10:0_18:1)",591.4021,493.42519,339.28944,229.17984,155.14305,265.25265
"PA(28:2) PA(10:0_18:2)",589.3864,491.40949,337.27374,229.17984,155.14305,263.23695
"PA(28:3) PA(10:0_18:3)",587.3708,489.39389,335.25814,229.17984,155.14305,261.22135
"PA(28:4) PA(10:0_18:4)",585.3551,487.37819,333.24244,229.17984,155.14305,259.20565
"PA(29:0) PA(10:0_19:0)",607.4334,509.45649,355.32074,229.17984,155.14305,281.28395
"PA(30:0) PA(10:0_20:0)",621.449,523.47209,369.33634,229.17984,155.14305,295.29955
"PA(30:1) PA(10:0_20:1)",619.4334,521.45649,367.32074,229.17984,155.14305,293.28395
"PA(30:2) PA(10:0_20:2)",617.4177,519.44079,365.30504,229.17984,155.14305,291.26825
"PA(30:3) PA(10:0_20:3)",615.4021,517.42519,363.28944,229.17984,155.14305,289.25265
"PA(30:4) PA(10:0_20:4)",613.3864,515.40949,361.27374,229.17984,155.14305,287.23695
"PA(30:5) PA(10:0_20:5)",611.3708,513.39389,359.25814,229.17984,155.14305,285.22135
"PA(31:0) PA(10:0_21:0)",635.4647,537.48779,383.35204,229.17984,155.14305,309.31525
"PA(32:0) PA(10:0_22:0)",649.4803,551.50339,397.36764,229.17984,155.14305,323.33085
"PA(32:1) PA(10:0_22:1)",647.4647,549.48779,395.35204,229.17984,155.14305,321.31525
"PA(32:2) PA(10:0_22:2)",645.449,547.47209,393.33634,229.17984,155.14305,319.29955
"PA(32:3) PA(10:0_22:3)",643.4334,545.45649,391.32074,229.17984,155.14305,317.28395
"PA(32:4) PA(10:0_22:4)",641.4177,543.44079,389.30504,229.17984,155.14305,315.26825
"PA(32:5) PA(10:0_22:5)",639.4021,541.42519,387.28944,229.17984,155.14305,313.25265
"PA(32:6) PA(10:0_22:6)",637.3864,539.40949,385.27374,229.17984,155.14305,311.23695
"PA(33:0) PA(10:0_23:0)",663.496,565.51909,411.38334,229.17984,155.14305,337.34655
"PA(34:0) PA(10:0_24:0)",677.5116,579.53469,425.39894,229.17984,155.14305,351.36215
"PA(34:1) PA(10:0_24:1)",675.496,577.51909,423.38334,229.17984,155.14305,349.34655
"PA(35:0) PA(10:0_25:0)",691.5273,593.55039,439.41464,229.17984,155.14305,365.37785
"PA(36:0) PA(10:0_26:0)",705.5429,607.56599,453.43024,229.17984,155.14305,379.39345
"PA(24:0) PA(12:0_12:0)",537.3551,439.37819,257.21114,257.21114,183.17435,183.17435
"PA(25:0) PA(12:0_13:0)",551.3708,453.39389,271.22684,257.21114,183.17435,197.19005
"PA(26:0) PA(12:0_14:0)",565.3864,467.40949,285.24244,257.21114,183.17435,211.20565
"PA(26:1) PA(12:0_14:1)",563.3708,465.39389,283.22684,257.21114,183.17435,209.19005
"PA(27:0) PA(12:0_15:0)",579.4021,481.42519,299.25814,257.21114,183.17435,225.22135
"PA(27:1) PA(12:0_15:1)",577.3864,479.40949,297.24244,257.21114,183.17435,223.20565
"PA(28:0) PA(12:0_16:0)",593.4177,495.44079,313.27374,257.21114,183.17435,239.23695
"PA(28:1) PA(12:0_16:1)",591.4021,493.42519,311.25814,257.21114,183.17435,237.22135
"PA(29:0) PA(12:0_17:0)",607.4334,509.45649,327.28944,257.21114,183.17435,253.25265
"PA(29:1) PA(12:0_17:1)",605.4177,507.44079,325.27374,257.21114,183.17435,251.23695
"PA(29:2) PA(12:0_17:2)",603.4021,505.42519,323.25814,257.21114,183.17435,249.22135
"PA(30:0) PA(12:0_18:0)",621.449,523.47209,341.30504,257.21114,183.17435,267.26825
"PA(30:1) PA(12:0_18:1)",619.4334,521.45649,339.28944,257.21114,183.17435,265.25265
"PA(30:2) PA(12:0_18:2)",617.4177,519.44079,337.27374,257.21114,183.17435,263.23695
"PA(30:3) PA(12:0_18:3)",615.4021,517.42519,335.25814,257.21114,183.17435,261.22135
"PA(30:4) PA(12:0_18:4)",613.3864,515.40949,333.24244,257.21114,183.17435,259.20565
"PA(31:0) PA(12:0_19:0)",635.4647,537.48779,355.32074,257.21114,183.17435,281.28395
"PA(32:0) PA(12:0_20:0)",649.4803,551.50339,369.33634,257.21114,183.17435,295.29955
"PA(32:1) PA(12:0_20:1)",647.4647,549.48779,367.32074,257.21114,183.17435,293.28395
"PA(32:2) PA(12:0_20:2)",645.449,547.47209,365.30504,257.21114,183.17435,291.26825
"PA(32:3) PA(12:0_20:3)",643.4334,545.45649,363.28944,257.21114,183.17435,289.25265
"PA(32:4) PA(12:0_20:4)",641.4177,543.44079,361.27374,257.21114,183.17435,287.23695
"PA(32:5) PA(12:0_20:5)",639.4021,541.42519,359.25814,257.21114,183.17435,285.22135
"PA(33:0) PA(12:0_21:0)",663.496,565.51909,383.35204,257.21114,183.17435,309.31525
"PA(34:0) PA(12:0_22:0)",677.5116,579.53469,397.36764,257.21114,183.17435,323.33085
"PA(34:1) PA(12:0_22:1)",675.496,577.51909,395.35204,257.21114,183.17435,321.31525
"PA(34:2) PA(12:0_22:2)",673.4803,575.50339,393.33634,257.21114,183.17435,319.29955
"PA(34:3) PA(12:0_22:3)",671.4647,573.48779,391.32074,257.21114,183.17435,317.28395
"PA(34:4) PA(12:0_22:4)",669.449,571.47209,389.30504,257.21114,183.17435,315.26825
"PA(34:5) PA(12:0_22:5)",667.4334,569.45649,387.28944,257.21114,183.17435,313.25265
"PA(34:6) PA(12:0_22:6)",665.4177,567.44079,385.27374,257.21114,183.17435,311.23695
"PA(35:0) PA(12:0_23:0)",691.5273,593.55039,411.38334,257.21114,183.17435,337.34655
"PA(36:0) PA(12:0_24:0)",705.5429,607.56599,425.39894,257.21114,183.17435,351.36215
"PA(36:1) PA(12:0_24:1)",703.5273,605.55039,423.38334,257.21114,183.17435,349.34655
"PA(37:0) PA(12:0_25:0)",719.5586,621.58169,439.41464,257.21114,183.17435,365.37785
"PA(38:0) PA(12:0_26:0)",733.5742,635.59729,453.43024,257.21114,183.17435,379.39345
"PA(26:0) PA(13:0_13:0)",565.3865,467.40959,271.22684,271.22684,197.19005,197.19005
"PA(27:0) PA(13:0_14:0)",579.4021,481.42519,285.24244,271.22684,197.19005,211.20565
"PA(27:1) PA(13:0_14:1)",577.3865,479.40959,283.22684,271.22684,197.19005,209.19005
"PA(28:0) PA(13:0_15:0)",593.4178,495.44089,299.25814,271.22684,197.19005,225.22135
"PA(28:1) PA(13:0_15:1)",591.4021,493.42519,297.24244,271.22684,197.19005,223.20565
"PA(29:0) PA(13:0_16:0)",607.4334,509.45649,313.27374,271.22684,197.19005,239.23695
"PA(29:1) PA(13:0_16:1)",605.4178,507.44089,311.25814,271.22684,197.19005,237.22135
"PA(30:0) PA(13:0_17:0)",621.4491,523.47219,327.28944,271.22684,197.19005,253.25265
"PA(30:1) PA(13:0_17:1)",619.4334,521.45649,325.27374,271.22684,197.19005,251.23695
"PA(30:2) PA(13:0_17:2)",617.4178,519.44089,323.25814,271.22684,197.19005,249.22135
"PA(31:0) PA(13:0_18:0)",635.4647,537.48779,341.30504,271.22684,197.19005,267.26825
"PA(31:1) PA(13:0_18:1)",633.4491,535.47219,339.28944,271.22684,197.19005,265.25265
"PA(31:2) PA(13:0_18:2)",631.4334,533.45649,337.27374,271.22684,197.19005,263.23695
"PA(31:3) PA(13:0_18:3)",629.4178,531.44089,335.25814,271.22684,197.19005,261.22135
"PA(31:4) PA(13:0_18:4)",627.4021,529.42519,333.24244,271.22684,197.19005,259.20565
"PA(32:0) PA(13:0_19:0)",649.4804,551.50349,355.32074,271.22684,197.19005,281.28395
"PA(33:0) PA(13:0_20:0)",663.496,565.51909,369.33634,271.22684,197.19005,295.29955
"PA(33:1) PA(13:0_20:1)",661.4804,563.50349,367.32074,271.22684,197.19005,293.28395
"PA(33:2) PA(13:0_20:2)",659.4647,561.48779,365.30504,271.22684,197.19005,291.26825
"PA(33:3) PA(13:0_20:3)",657.4491,559.47219,363.28944,271.22684,197.19005,289.25265
"PA(33:4) PA(13:0_20:4)",655.4334,557.45649,361.27374,271.22684,197.19005,287.23695
"PA(33:5) PA(13:0_20:5)",653.4178,555.44089,359.25814,271.22684,197.19005,285.22135
"PA(34:0) PA(13:0_21:0)",677.5117,579.53479,383.35204,271.22684,197.19005,309.31525
"PA(35:0) PA(13:0_22:0)",691.5273,593.55039,397.36764,271.22684,197.19005,323.33085
"PA(35:1) PA(13:0_22:1)",689.5117,591.53479,395.35204,271.22684,197.19005,321.31525
"PA(35:2) PA(13:0_22:2)",687.496,589.51909,393.33634,271.22684,197.19005,319.29955
"PA(35:3) PA(13:0_22:3)",685.4804,587.50349,391.32074,271.22684,197.19005,317.28395
"PA(35:4) PA(13:0_22:4)",683.4647,585.48779,389.30504,271.22684,197.19005,315.26825
"PA(35:5) PA(13:0_22:5)",681.4491,583.47219,387.28944,271.22684,197.19005,313.25265
"PA(35:6) PA(13:0_22:6)",679.4334,581.45649,385.27374,271.22684,197.19005,311.23695
"PA(36:0) PA(13:0_23:0)",705.543,607.56609,411.38334,271.22684,197.19005,337.34655
"PA(37:0) PA(13:0_24:0)",719.5586,621.58169,425.39894,271.22684,197.19005,351.36215
"PA(37:1) PA(13:0_24:1)",717.543,619.56609,423.38334,271.22684,197.19005,349.34655
"PA(38:0) PA(13:0_25:0)",733.5743,635.59739,439.41464,271.22684,197.19005,365.37785
"PA(39:0) PA(13:0_26:0)",747.5899,649.61299,453.43024,271.22684,197.19005,379.39345
"PA(28:0) PA(14:0_14:0)",593.4177,495.44079,285.24244,285.24244,211.20565,211.20565
"PA(28:1) PA(14:0_14:1)",591.4021,493.42519,283.22684,285.24244,211.20565,209.19005
"PA(29:0) PA(14:0_15:0)",607.4334,509.45649,299.25814,285.24244,211.20565,225.22135
"PA(29:1) PA(14:0_15:1)",605.4177,507.44079,297.24244,285.24244,211.20565,223.20565
"PA(30:0) PA(14:0_16:0)",621.449,523.47209,313.27374,285.24244,211.20565,239.23695
"PA(30:1) PA(14:0_16:1)",619.4334,521.45649,311.25814,285.24244,211.20565,237.22135
"PA(31:0) PA(14:0_17:0)",635.4647,537.48779,327.28944,285.24244,211.20565,253.25265
"PA(31:1) PA(14:0_17:1)",633.449,535.47209,325.27374,285.24244,211.20565,251.23695
"PA(31:2) PA(14:0_17:2)",631.4334,533.45649,323.25814,285.24244,211.20565,249.22135
"PA(32:0) PA(14:0_18:0)",649.4803,551.50339,341.30504,285.24244,211.20565,267.26825
"PA(32:1) PA(14:0_18:1)",647.4647,549.48779,339.28944,285.24244,211.20565,265.25265
"PA(32:2) PA(14:0_18:2)",645.449,547.47209,337.27374,285.24244,211.20565,263.23695
"PA(32:3) PA(14:0_18:3)",643.4334,545.45649,335.25814,285.24244,211.20565,261.22135
"PA(32:4) PA(14:0_18:4)",641.4177,543.44079,333.24244,285.24244,211.20565,259.20565
"PA(33:0) PA(14:0_19:0)",663.496,565.51909,355.32074,285.24244,211.20565,281.28395
"PA(34:0) PA(14:0_20:0)",677.5116,579.53469,369.33634,285.24244,211.20565,295.29955
"PA(34:1) PA(14:0_20:1)",675.496,577.51909,367.32074,285.24244,211.20565,293.28395
"PA(34:2) PA(14:0_20:2)",673.4803,575.50339,365.30504,285.24244,211.20565,291.26825
"PA(34:3) PA(14:0_20:3)",671.4647,573.48779,363.28944,285.24244,211.20565,289.25265
"PA(34:4) PA(14:0_20:4)",669.449,571.47209,361.27374,285.24244,211.20565,287.23695
"PA(34:5) PA(14:0_20:5)",667.4334,569.45649,359.25814,285.24244,211.20565,285.22135
"PA(35:0) PA(14:0_21:0)",691.5273,593.55039,383.35204,285.24244,211.20565,309.31525
"PA(36:0) PA(14:0_22:0)",705.5429,607.56599,397.36764,285.24244,211.20565,323.33085
"PA(36:1) PA(14:0_22:1)",703.5273,605.55039,395.35204,285.24244,211.20565,321.31525
"PA(36:2) PA(14:0_22:2)",701.5116,603.53469,393.33634,285.24244,211.20565,319.29955
"PA(36:3) PA(14:0_22:3)",699.496,601.51909,391.32074,285.24244,211.20565,317.28395
"PA(36:4) PA(14:0_22:4)",697.4803,599.50339,389.30504,285.24244,211.20565,315.26825
"PA(36:5) PA(14:0_22:5)",695.4647,597.48779,387.28944,285.24244,211.20565,313.25265
"PA(36:6) PA(14:0_22:6)",693.449,595.47209,385.27374,285.24244,211.20565,311.23695
"PA(37:0) PA(14:0_23:0)",719.5586,621.58169,411.38334,285.24244,211.20565,337.34655
"PA(38:0) PA(14:0_24:0)",733.5742,635.59729,425.39894,285.24244,211.20565,351.36215
"PA(38:1) PA(14:0_24:1)",731.5586,633.58169,423.38334,285.24244,211.20565,349.34655
"PA(39:0) PA(14:0_25:0)",747.5899,649.61299,439.41464,285.24244,211.20565,365.37785
"PA(40:0) PA(14:0_26:0)",761.6055,663.62859,453.43024,285.24244,211.20565,379.39345
"PA(28:2) PA(14:1_14:1)",589.3865,491.40959,283.22684,283.22684,209.19005,209.19005
"PA(29:1) PA(14:1_15:0)",605.4178,507.44089,299.25814,283.22684,209.19005,225.22135
"PA(29:2) PA(14:1_15:1)",603.4021,505.42519,297.24244,283.22684,209.19005,223.20565
"PA(30:1) PA(14:1_16:0)",619.4334,521.45649,313.27374,283.22684,209.19005,239.23695
"PA(30:2) PA(14:1_16:1)",617.4178,519.44089,311.25814,283.22684,209.19005,237.22135
"PA(31:1) PA(14:1_17:0)",633.4491,535.47219,327.28944,283.22684,209.19005,253.25265
"PA(31:2) PA(14:1_17:1)",631.4334,533.45649,325.27374,283.22684,209.19005,251.23695
"PA(31:3) PA(14:1_17:2)",629.4178,531.44089,323.25814,283.22684,209.19005,249.22135
"PA(32:1) PA(14:1_18:0)",647.4647,549.48779,341.30504,283.22684,209.19005,267.26825
"PA(32:2) PA(14:1_18:1)",645.4491,547.47219,339.28944,283.22684,209.19005,265.25265
"PA(32:3) PA(14:1_18:2)",643.4334,545.45649,337.27374,283.22684,209.19005,263.23695
"PA(32:4) PA(14:1_18:3)",641.4178,543.44089,335.25814,283.22684,209.19005,261.22135
"PA(32:5) PA(14:1_18:4)",639.4021,541.42519,333.24244,283.22684,209.19005,259.20565
"PA(33:1) PA(14:1_19:0)",661.4804,563.50349,355.32074,283.22684,209.19005,281.28395
"PA(34:1) PA(14:1_20:0)",675.496,577.51909,369.33634,283.22684,209.19005,295.29955
"PA(34:2) PA(14:1_20:1)",673.4804,575.50349,367.32074,283.22684,209.19005,293.28395
"PA(34:3) PA(14:1_20:2)",671.4647,573.48779,365.30504,283.22684,209.19005,291.26825
"PA(34:4) PA(14:1_20:3)",669.4491,571.47219,363.28944,283.22684,209.19005,289.25265
"PA(34:5) PA(14:1_20:4)",667.4334,569.45649,361.27374,283.22684,209.19005,287.23695
"PA(34:6) PA(14:1_20:5)",665.4178,567.44089,359.25814,283.22684,209.19005,285.22135
"PA(35:1) PA(14:1_21:0)",689.5117,591.53479,383.35204,283.22684,209.19005,309.31525
"PA(36:1) PA(14:1_22:0)",703.5273,605.55039,397.36764,283.22684,209.19005,323.33085
"PA(36:2) PA(14:1_22:1)",701.5117,603.53479,395.35204,283.22684,209.19005,321.31525
"PA(36:3) PA(14:1_22:2)",699.496,601.51909,393.33634,283.22684,209.19005,319.29955
"PA(36:4) PA(14:1_22:3)",697.4804,599.50349,391.32074,283.22684,209.19005,317.28395
"PA(36:5) PA(14:1_22:4)",695.4647,597.48779,389.30504,283.22684,209.19005,315.26825
"PA(36:6) PA(14:1_22:5)",693.4491,595.47219,387.28944,283.22684,209.19005,313.25265
"PA(36:7) PA(14:1_22:6)",691.4334,593.45649,385.27374,283.22684,209.19005,311.23695
"PA(37:1) PA(14:1_23:0)",717.543,619.56609,411.38334,283.22684,209.19005,337.34655
"PA(38:1) PA(14:1_24:0)",731.5586,633.58169,425.39894,283.22684,209.19005,351.36215
"PA(38:2) PA(14:1_24:1)",729.543,631.56609,423.38334,283.22684,209.19005,349.34655
"PA(39:1) PA(14:1_25:0)",745.5743,647.59739,439.41464,283.22684,209.19005,365.37785
"PA(40:1) PA(14:1_26:0)",759.5899,661.61299,453.43024,283.22684,209.19005,379.39345
"PA(30:0) PA(15:0_15:0)",621.4491,523.47219,299.25814,299.25814,225.22135,225.22135
"PA(30:1) PA(15:0_15:1)",619.4334,521.45649,297.24244,299.25814,225.22135,223.20565
"PA(31:0) PA(15:0_16:0)",635.4647,537.48779,313.27374,299.25814,225.22135,239.23695
"PA(31:1) PA(15:0_16:1)",633.4491,535.47219,311.25814,299.25814,225.22135,237.22135
"PA(32:0) PA(15:0_17:0)",649.4804,551.50349,327.28944,299.25814,225.22135,253.25265
"PA(32:1) PA(15:0_17:1)",647.4647,549.48779,325.27374,299.25814,225.22135,251.23695
"PA(32:2) PA(15:0_17:2)",645.4491,547.47219,323.25814,299.25814,225.22135,249.22135
"PA(33:0) PA(15:0_18:0)",663.496,565.51909,341.30504,299.25814,225.22135,267.26825
"PA(33:1) PA(15:0_18:1)",661.4804,563.50349,339.28944,299.25814,225.22135,265.25265
"PA(33:2) PA(15:0_18:2)",659.4647,561.48779,337.27374,299.25814,225.22135,263.23695
"PA(33:3) PA(15:0_18:3)",657.4491,559.47219,335.25814,299.25814,225.22135,261.22135
"PA(33:4) PA(15:0_18:4)",655.4334,557.45649,333.24244,299.25814,225.22135,259.20565
"PA(34:0) PA(15:0_19:0)",677.5117,579.53479,355.32074,299.25814,225.22135,281.28395
"PA(35:0) PA(15:0_20:0)",691.5273,593.55039,369.33634,299.25814,225.22135,295.29955
"PA(35:1) PA(15:0_20:1)",689.5117,591.53479,367.32074,299.25814,225.22135,293.28395
"PA(35:2) PA(15:0_20:2)",687.496,589.51909,365.30504,299.25814,225.22135,291.26825
"PA(35:3) PA(15:0_20:3)",685.4804,587.50349,363.28944,299.25814,225.22135,289.25265
"PA(35:4) PA(15:0_20:4)",683.4647,585.48779,361.27374,299.25814,225.22135,287.23695
"PA(35:5) PA(15:0_20:5)",681.4491,583.47219,359.25814,299.25814,225.22135,285.22135
"PA(36:0) PA(15:0_21:0)",705.543,607.56609,383.35204,299.25814,225.22135,309.31525
"PA(37:0) PA(15:0_22:0)",719.5586,621.58169,397.36764,299.25814,225.22135,323.33085
"PA(37:1) PA(15:0_22:1)",717.543,619.56609,395.35204,299.25814,225.22135,321.31525
"PA(37:2) PA(15:0_22:2)",715.5273,617.55039,393.33634,299.25814,225.22135,319.29955
"PA(37:3) PA(15:0_22:3)",713.5117,615.53479,391.32074,299.25814,225.22135,317.28395
"PA(37:4) PA(15:0_22:4)",711.496,613.51909,389.30504,299.25814,225.22135,315.26825
"PA(37:5) PA(15:0_22:5)",709.4804,611.50349,387.28944,299.25814,225.22135,313.25265
"PA(37:6) PA(15:0_22:6)",707.4647,609.48779,385.27374,299.25814,225.22135,311.23695
"PA(38:0) PA(15:0_23:0)",733.5743,635.59739,411.38334,299.25814,225.22135,337.34655
"PA(39:0) PA(15:0_24:0)",747.5899,649.61299,425.39894,299.25814,225.22135,351.36215
"PA(39:1) PA(15:0_24:1)",745.5743,647.59739,423.38334,299.25814,225.22135,349.34655
"PA(40:0) PA(15:0_25:0)",761.6056,663.62869,439.41464,299.25814,225.22135,365.37785
"PA(41:0) PA(15:0_26:0)",775.6212,677.64429,453.43024,299.25814,225.22135,379.39345
"PA(30:2) PA(15:1_15:1)",617.4177,519.44079,297.24244,297.24244,223.20565,223.20565
