"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(31:1) PG(15:1_16:0)",729.46771,535.4720908,195.0034442,297.2424,313.2737
"PG(31:2) PG(15:1_16:1)",727.45211,533.4564908,195.0034442,297.2424,311.2581
"PG(32:1) PG(15:1_17:0)",743.48341,549.4877908,195.0034442,297.2424,327.2894
"PG(32:2) PG(15:1_17:1)",741.46771,547.4720908,195.0034442,297.2424,325.2737
"PG(32:3) PG(15:1_17:2)",739.45211,545.4564908,195.0034442,297.2424,323.2581
"PG(33:1) PG(15:1_18:0)",757.49901,563.5033908,195.0034442,297.2424,341.305
"PG(33:2) PG(15:1_18:1)",755.48341,561.4877908,195.0034442,297.2424,339.2894
"PG(33:3) PG(15:1_18:2)",753.46771,559.4720908,195.0034442,297.2424,337.2737
"PG(33:4) PG(15:1_18:3)",751.45211,557.4564908,195.0034442,297.2424,335.2581
"PG(33:5) PG(15:1_18:4)",749.43641,555.4407908,195.0034442,297.2424,333.2424
"PG(34:1) PG(15:1_19:0)",771.51471,577.5190908,195.0034442,297.2424,355.3207
"PG(35:1) PG(15:1_20:0)",785.53031,591.5346908,195.0034442,297.2424,369.3363
"PG(35:2) PG(15:1_20:1)",783.51471,589.5190908,195.0034442,297.2424,367.3207
"PG(35:3) PG(15:1_20:2)",781.49901,587.5033908,195.0034442,297.2424,365.305
"PG(35:4) PG(15:1_20:3)",779.48341,585.4877908,195.0034442,297.2424,363.2894
"PG(35:5) PG(15:1_20:4)",777.46771,583.4720908,195.0034442,297.2424,361.2737
"PG(35:6) PG(15:1_20:5)",775.45211,581.4564908,195.0034442,297.2424,359.2581
"PG(36:1) PG(15:1_21:0)",799.54601,605.5503908,195.0034442,297.2424,383.352
"PG(37:1) PG(15:1_22:0)",813.56161,619.5659908,195.0034442,297.2424,397.3676
"PG(37:2) PG(15:1_22:1)",811.54601,617.5503908,195.0034442,297.2424,395.352
"PG(37:3) PG(15:1_22:2)",809.53031,615.5346908,195.0034442,297.2424,393.3363
"PG(37:4) PG(15:1_22:3)",807.51471,613.5190908,195.0034442,297.2424,391.3207
"PG(37:5) PG(15:1_22:4)",805.49901,611.5033908,195.0034442,297.2424,389.305
"PG(37:6) PG(15:1_22:5)",803.48341,609.4877908,195.0034442,297.2424,387.2894
"PG(37:7) PG(15:1_22:6)",801.46771,607.4720908,195.0034442,297.2424,385.2737
"PG(38:1) PG(15:1_23:0)",827.57731,633.5816908,195.0034442,297.2424,411.3833
"PG(39:1) PG(15:1_24:0)",841.59291,647.5972908,195.0034442,297.2424,425.3989
"PG(39:2) PG(15:1_24:1)",839.57731,645.5816908,195.0034442,297.2424,423.3833
"PG(40:1) PG(15:1_25:0)",855.60861,661.6129908,195.0034442,297.2424,439.4146
"PG(41:1) PG(15:1_26:0)",869.62421,675.6285908,195.0034442,297.2424,453.4302
"PG(32:0) PG(16:0_16:0)",745.49901,551.5033908,195.0034442,313.2737,313.2737
"PG(32:1) PG(16:0_16:1)",743.48341,549.4877908,195.0034442,313.2737,311.2581
"PG(33:0) PG(16:0_17:0)",759.51471,565.5190908,195.0034442,313.2737,327.2894
"PG(33:1) PG(16:0_17:1)",757.49901,563.5033908,195.0034442,313.2737,325.2737
"PG(33:2) PG(16:0_17:2)",755.48341,561.4877908,195.0034442,313.2737,323.2581
"PG(34:0) PG(16:0_18:0)",773.53031,579.5346908,195.0034442,313.2737,341.305
"PG(34:1) PG(16:0_18:1)",771.51471,577.5190908,195.0034442,313.2737,339.2894
"PG(34:2) PG(16:0_18:2)",769.49901,575.5033908,195.0034442,313.2737,337.2737
"PG(34:3) PG(16:0_18:3)",767.48341,573.4877908,195.0034442,313.2737,335.2581
"PG(34:4) PG(16:0_18:4)",765.46771,571.4720908,195.0034442,313.2737,333.2424
"PG(35:0) PG(16:0_19:0)",787.54601,593.5503908,195.0034442,313.2737,355.3207
"PG(36:0) PG(16:0_20:0)",801.56161,607.5659908,195.0034442,313.2737,369.3363
"PG(36:1) PG(16:0_20:1)",799.54601,605.5503908,195.0034442,313.2737,367.3207
"PG(36:2) PG(16:0_20:2)",797.53031,603.5346908,195.0034442,313.2737,365.305
"PG(36:3) PG(16:0_20:3)",795.51471,601.5190908,195.0034442,313.2737,363.2894
"PG(36:4) PG(16:0_20:4)",793.49901,599.5033908,195.0034442,313.2737,361.2737
"PG(36:5) PG(16:0_20:5)",791.48341,597.4877908,195.0034442,313.2737,359.2581
"PG(37:0) PG(16:0_21:0)",815.57731,621.5816908,195.0034442,313.2737,383.352
"PG(38:0) PG(16:0_22:0)",829.59291,635.5972908,195.0034442,313.2737,397.3676
"PG(38:1) PG(16:0_22:1)",827.57731,633.5816908,195.0034442,313.2737,395.352
"PG(38:2) PG(16:0_22:2)",825.56161,631.5659908,195.0034442,313.2737,393.3363
"PG(38:3) PG(16:0_22:3)",823.54601,629.5503908,195.0034442,313.2737,391.3207
"PG(38:4) PG(16:0_22:4)",821.53031,627.5346908,195.0034442,313.2737,389.305
"PG(38:5) PG(16:0_22:5)",819.51471,625.5190908,195.0034442,313.2737,387.2894
"PG(38:6) PG(16:0_22:6)",817.49901,623.5033908,195.0034442,313.2737,385.2737
"PG(39:0) PG(16:0_23:0)",843.60861,649.6129908,195.0034442,313.2737,411.3833
"PG(40:0) PG(16:0_24:0)",857.62421,663.6285908,195.0034442,313.2737,425.3989
"PG(40:1) PG(16:0_24:1)",855.60861,661.6129908,195.0034442,313.2737,423.3833
"PG(41:0) PG(16:0_25:0)",871.63991,677.6442908,195.0034442,313.2737,439.4146
"PG(42:0) PG(16:0_26:0)",885.65551,691.6598908,195.0034442,313.2737,453.4302
"PG(32:2) PG(16:1_16:1)",741.46781,547.4721908,195.0034442,311.2581,311.2581
"PG(33:1) PG(16:1_17:0)",757.49911,563.5034908,195.0034442,311.2581,327.2894
"PG(33:2) PG(16:1_17:1)",755.48341,561.4877908,195.0034442,311.2581,325.2737
"PG(33:3) PG(16:1_17:2)",753.46781,559.4721908,195.0034442,311.2581,323.2581
"PG(34:1) PG(16:1_18:0)",771.51471,577.5190908,195.0034442,311.2581,341.305
"PG(34:2) PG(16:1_18:1)",769.49911,575.5034908,195.0034442,311.2581,339.2894
"PG(34:3) PG(16:1_18:2)",767.48341,573.4877908,195.0034442,311.2581,337.2737
"PG(34:4) PG(16:1_18:3)",765.46781,571.4721908,195.0034442,311.2581,335.2581
"PG(34:5) PG(16:1_18:4)",763.45211,569.4564908,195.0034442,311.2581,333.2424
"PG(35:1) PG(16:1_19:0)",785.53041,591.5347908,195.0034442,311.2581,355.3207
"PG(36:1) PG(16:1_20:0)",799.54601,605.5503908,195.0034442,311.2581,369.3363
"PG(36:2) PG(16:1_20:1)",797.53041,603.5347908,195.0034442,311.2581,367.3207
"PG(36:3) PG(16:1_20:2)",795.51471,601.5190908,195.0034442,311.2581,365.305
"PG(36:4) PG(16:1_20:3)",793.49911,599.5034908,195.0034442,311.2581,363.2894
"PG(36:5) PG(16:1_20:4)",791.48341,597.4877908,195.0034442,311.2581,361.2737
"PG(36:6) PG(16:1_20:5)",789.46781,595.4721908,195.0034442,311.2581,359.2581
"PG(37:1) PG(16:1_21:0)",813.56171,619.5660908,195.0034442,311.2581,383.352
"PG(38:1) PG(16:1_22:0)",827.57731,633.5816908,195.0034442,311.2581,397.3676
"PG(38:2) PG(16:1_22:1)",825.56171,631.5660908,195.0034442,311.2581,395.352
"PG(38:3) PG(16:1_22:2)",823.54601,629.5503908,195.0034442,311.2581,393.3363
"PG(38:4) PG(16:1_22:3)",821.53041,627.5347908,195.0034442,311.2581,391.3207
"PG(38:5) PG(16:1_22:4)",819.51471,625.5190908,195.0034442,311.2581,389.305
"PG(38:6) PG(16:1_22:5)",817.49911,623.5034908,195.0034442,311.2581,387.2894
"PG(38:7) PG(16:1_22:6)",815.48341,621.4877908,195.0034442,311.2581,385.2737
"PG(39:1) PG(16:1_23:0)",841.59301,647.5973908,195.0034442,311.2581,411.3833
"PG(40:1) PG(16:1_24:0)",855.60861,661.6129908,195.0034442,311.2581,425.3989
"PG(40:2) PG(16:1_24:1)",853.59301,659.5973908,195.0034442,311.2581,423.3833
"PG(41:1) PG(16:1_25:0)",869.62431,675.6286908,195.0034442,311.2581,439.4146
"PG(42:1) PG(16:1_26:0)",883.63991,689.6442908,195.0034442,311.2581,453.4302
"PG(34:0) PG(17:0_17:0)",773.53041,579.5347908,195.0034442,327.2894,327.2894
"PG(34:1) PG(17:0_17:1)",771.51471,577.5190908,195.0034442,327.2894,325.2737
"PG(34:2) PG(17:0_17:2)",769.49911,575.5034908,195.0034442,327.2894,323.2581
"PG(35:0) PG(17:0_18:0)",787.54601,593.5503908,195.0034442,327.2894,341.305
"PG(35:1) PG(17:0_18:1)",785.53041,591.5347908,195.0034442,327.2894,339.2894
"PG(35:2) PG(17:0_18:2)",783.51471,589.5190908,195.0034442,327.2894,337.2737
"PG(35:3) PG(17:0_18:3)",781.49911,587.5034908,195.0034442,327.2894,335.2581
"PG(35:4) PG(17:0_18:4)",779.48341,585.4877908,195.0034442,327.2894,333.2424
"PG(36:0) PG(17:0_19:0)",801.56171,607.5660908,195.0034442,327.2894,355.3207
"PG(37:0) PG(17:0_20:0)",815.57731,621.5816908,195.0034442,327.2894,369.3363
"PG(37:1) PG(17:0_20:1)",813.56171,619.5660908,195.0034442,327.2894,367.3207
"PG(37:2) PG(17:0_20:2)",811.54601,617.5503908,195.0034442,327.2894,365.305
"PG(37:3) PG(17:0_20:3)",809.53041,615.5347908,195.0034442,327.2894,363.2894
"PG(37:4) PG(17:0_20:4)",807.51471,613.5190908,195.0034442,327.2894,361.2737
"PG(37:5) PG(17:0_20:5)",805.49911,611.5034908,195.0034442,327.2894,359.2581
"PG(38:0) PG(17:0_21:0)",829.59301,635.5973908,195.0034442,327.2894,383.352
"PG(39:0) PG(17:0_22:0)",843.60861,649.6129908,195.0034442,327.2894,397.3676
"PG(39:1) PG(17:0_22:1)",841.59301,647.5973908,195.0034442,327.2894,395.352
"PG(39:2) PG(17:0_22:2)",839.57731,645.5816908,195.0034442,327.2894,393.3363
"PG(39:3) PG(17:0_22:3)",837.56171,643.5660908,195.0034442,327.2894,391.3207
"PG(39:4) PG(17:0_22:4)",835.54601,641.5503908,195.0034442,327.2894,389.305
"PG(39:5) PG(17:0_22:5)",833.53041,639.5347908,195.0034442,327.2894,387.2894
"PG(39:6) PG(17:0_22:6)",831.51471,637.5190908,195.0034442,327.2894,385.2737
"PG(40:0) PG(17:0_23:0)",857.62431,663.6286908,195.0034442,327.2894,411.3833
"PG(41:0) PG(17:0_24:0)",871.63991,677.6442908,195.0034442,327.2894,425.3989
"PG(41:1) PG(17:0_24:1)",869.62431,675.6286908,195.0034442,327.2894,423.3833
"PG(42:0) PG(17:0_25:0)",885.65561,691.6599908,195.0034442,327.2894,439.4146
"PG(43:0) PG(17:0_26:0)",899.67121,705.6755908,195.0034442,327.2894,453.4302
"PG(34:2) PG(17:1_17:1)",769.49901,575.5033908,195.0034442,325.2737,325.2737
"PG(34:3) PG(17:1_17:2)",767.48341,573.4877908,195.0034442,325.2737,323.2581
"PG(35:1) PG(17:1_18:0)",785.53031,591.5346908,195.0034442,325.2737,341.305
"PG(35:2) PG(17:1_18:1)",783.51471,589.5190908,195.0034442,325.2737,339.2894
"PG(35:3) PG(17:1_18:2)",781.49901,587.5033908,195.0034442,325.2737,337.2737
"PG(35:4) PG(17:1_18:3)",779.48341,585.4877908,195.0034442,325.2737,335.2581
"PG(35:5) PG(17:1_18:4)",777.46771,583.4720908,195.0034442,325.2737,333.2424
"PG(36:1) PG(17:1_19:0)",799.54601,605.5503908,195.0034442,325.2737,355.3207
"PG(37:1) PG(17:1_20:0)",813.56161,619.5659908,195.0034442,325.2737,369.3363
"PG(37:2) PG(17:1_20:1)",811.54601,617.5503908,195.0034442,325.2737,367.3207
"PG(37:3) PG(17:1_20:2)",809.53031,615.5346908,195.0034442,325.2737,365.305
"PG(37:4) PG(17:1_20:3)",807.51471,613.5190908,195.0034442,325.2737,363.2894
"PG(37:5) PG(17:1_20:4)",805.49901,611.5033908,195.0034442,325.2737,361.2737
"PG(37:6) PG(17:1_20:5)",803.48341,609.4877908,195.0034442,325.2737,359.2581
"PG(38:1) PG(17:1_21:0)",827.57731,633.5816908,195.0034442,325.2737,383.352
"PG(39:1) PG(17:1_22:0)",841.59291,647.5972908,195.0034442,325.2737,397.3676
"PG(39:2) PG(17:1_22:1)",839.57731,645.5816908,195.0034442,325.2737,395.352
"PG(39:3) PG(17:1_22:2)",837.56161,643.5659908,195.0034442,325.2737,393.3363
"PG(39:4) PG(17:1_22:3)",835.54601,641.5503908,195.0034442,325.2737,391.3207
"PG(39:5) PG(17:1_22:4)",833.53031,639.5346908,195.0034442,325.2737,389.305
"PG(39:6) PG(17:1_22:5)",831.51471,637.5190908,195.0034442,325.2737,387.2894
"PG(39:7) PG(17:1_22:6)",829.49901,635.5033908,195.0034442,325.2737,385.2737
"PG(40:1) PG(17:1_23:0)",855.60861,661.6129908,195.0034442,325.2737,411.3833
"PG(41:1) PG(17:1_24:0)",869.62421,675.6285908,195.0034442,325.2737,425.3989
"PG(41:2) PG(17:1_24:1)",867.60861,673.6129908,195.0034442,325.2737,423.3833
"PG(42:1) PG(17:1_25:0)",883.63991,689.6442908,195.0034442,325.2737,439.4146
"PG(43:1) PG(17:1_26:0)",897.65551,703.6598908,195.0034442,325.2737,453.4302
"PG(34:4) PG(17:2_17:2)",765.46781,571.4721908,195.0034442,323.2581,323.2581
"PG(35:2) PG(17:2_18:0)",783.51471,589.5190908,195.0034442,323.2581,341.305
"PG(35:3) PG(17:2_18:1)",781.49911,587.5034908,195.0034442,323.2581,339.2894
"PG(35:4) PG(17:2_18:2)",779.48341,585.4877908,195.0034442,323.2581,337.2737
"PG(35:5) PG(17:2_18:3)",777.46781,583.4721908,195.0034442,323.2581,335.2581
"PG(35:6) PG(17:2_18:4)",775.45211,581.4564908,195.0034442,323.2581,333.2424
"PG(36:2) PG(17:2_19:0)",797.53041,603.5347908,195.0034442,323.2581,355.3207
"PG(37:2) PG(17:2_20:0)",811.54601,617.5503908,195.0034442,323.2581,369.3363
"PG(37:3) PG(17:2_20:1)",809.53041,615.5347908,195.0034442,323.2581,367.3207
"PG(37:4) PG(17:2_20:2)",807.51471,613.5190908,195.0034442,323.2581,365.305
"PG(37:5) PG(17:2_20:3)",805.49911,611.5034908,195.0034442,323.2581,363.2894
"PG(37:6) PG(17:2_20:4)",803.48341,609.4877908,195.0034442,323.2581,361.2737
"PG(37:7) PG(17:2_20:5)",801.46781,607.4721908,195.0034442,323.2581,359.2581
"PG(38:2) PG(17:2_21:0)",825.56171,631.5660908,195.0034442,323.2581,383.352
"PG(39:2) PG(17:2_22:0)",839.57731,645.5816908,195.0034442,323.2581,397.3676
"PG(39:3) PG(17:2_22:1)",837.56171,643.5660908,195.0034442,323.2581,395.352
"PG(39:4) PG(17:2_22:2)",835.54601,641.5503908,195.0034442,323.2581,393.3363
"PG(39:5) PG(17:2_22:3)",833.53041,639.5347908,195.0034442,323.2581,391.3207
"PG(39:6) PG(17:2_22:4)",831.51471,637.5190908,195.0034442,323.2581,389.305
"PG(39:7) PG(17:2_22:5)",829.49911,635.5034908,195.0034442,323.2581,387.2894
"PG(39:8) PG(17:2_22:6)",827.48341,633.4877908,195.0034442,323.2581,385.2737
"PG(40:2) PG(17:2_23:0)",853.59301,659.5973908,195.0034442,323.2581,411.3833
"PG(41:2) PG(17:2_24:0)",867.60861,673.6129908,195.0034442,323.2581,425.3989
"PG(41:3) PG(17:2_24:1)",865.59301,671.5973908,195.0034442,323.2581,423.3833
"PG(42:2) PG(17:2_25:0)",881.62431,687.6286908,195.0034442,323.2581,439.4146
"PG(43:2) PG(17:2_26:0)",895.63991,701.6442908,195.0034442,323.2581,453.4302
"PG(36:0) PG(18:0_18:0)",801.56161,607.5659908,195.0034442,341.305,341.305
"PG(36:1) PG(18:0_18:1)",799.54601,605.5503908,195.0034442,341.305,339.2894
"PG(36:2) PG(18:0_18:2)",797.53031,603.5346908,195.0034442,341.305,337.2737
"PG(36:3) PG(18:0_18:3)",795.51471,601.5190908,195.0034442,341.305,335.2581
"PG(36:4) PG(18:0_18:4)",793.49901,599.5033908,195.0034442,341.305,333.2424
"PG(37:0) PG(18:0_19:0)",815.57731,621.5816908,195.0034442,341.305,355.3207
"PG(38:0) PG(18:0_20:0)",829.59291,635.5972908,195.0034442,341.305,369.3363
"PG(38:1) PG(18:0_20:1)",827.57731,633.5816908,195.0034442,341.305,367.3207
"PG(38:2) PG(18:0_20:2)",825.56161,631.5659908,195.0034442,341.305,365.305
"PG(38:3) PG(18:0_20:3)",823.54601,629.5503908,195.0034442,341.305,363.2894
"PG(38:4) PG(18:0_20:4)",821.53031,627.5346908,195.0034442,341.305,361.2737
"PG(38:5) PG(18:0_20:5)",819.51471,625.5190908,195.0034442,341.305,359.2581
"PG(39:0) PG(18:0_21:0)",843.60861,649.6129908,195.0034442,341.305,383.352
"PG(40:0) PG(18:0_22:0)",857.62421,663.6285908,195.0034442,341.305,397.3676
"PG(40:1) PG(18:0_22:1)",855.60861,661.6129908,195.0034442,341.305,395.352
"PG(40:2) PG(18:0_22:2)",853.59291,659.5972908,195.0034442,341.305,393.3363
"PG(40:3) PG(18:0_22:3)",851.57731,657.5816908,195.0034442,341.305,391.3207
"PG(40:4) PG(18:0_22:4)",849.56161,655.5659908,195.0034442,341.305,389.305
"PG(40:5) PG(18:0_22:5)",847.54601,653.5503908,195.0034442,341.305,387.2894
"PG(40:6) PG(18:0_22:6)",845.53031,651.5346908,195.0034442,341.305,385.2737
"PG(41:0) PG(18:0_23:0)",871.63991,677.6442908,195.0034442,341.305,411.3833
"PG(42:0) PG(18:0_24:0)",885.65551,691.6598908,195.0034442,341.305,425.3989
"PG(42:1) PG(18:0_24:1)",883.63991,689.6442908,195.0034442,341.305,423.3833
"PG(43:0) PG(18:0_25:0)",899.67121,705.6755908,195.0034442,341.305,439.4146
"PG(44:0) PG(18:0_26:0)",913.68681,719.6911908,195.0034442,341.305,453.4302
"PG(36:2) PG(18:1_18:1)",797.53041,603.5347908,195.0034442,339.2894,339.2894
"PG(36:3) PG(18:1_18:2)",795.51471,601.5190908,195.0034442,339.2894,337.2737
"PG(36:4) PG(18:1_18:3)",793.49911,599.5034908,195.0034442,339.2894,335.2581
"PG(36:5) PG(18:1_18:4)",791.48341,597.4877908,195.0034442,339.2894,333.2424
"PG(37:1) PG(18:1_19:0)",813.56171,619.5660908,195.0034442,339.2894,355.3207
"PG(38:1) PG(18:1_20:0)",827.57731,633.5816908,195.0034442,339.2894,369.3363
"PG(38:2) PG(18:1_20:1)",825.56171,631.5660908,195.0034442,339.2894,367.3207
"PG(38:3) PG(18:1_20:2)",823.54601,629.5503908,195.0034442,339.2894,365.305
"PG(38:4) PG(18:1_20:3)",821.53041,627.5347908,195.0034442,339.2894,363.2894
"PG(38:5) PG(18:1_20:4)",819.51471,625.5190908,195.0034442,339.2894,361.2737
"PG(38:6) PG(18:1_20:5)",817.49911,623.5034908,195.0034442,339.2894,359.2581
"PG(39:1) PG(18:1_21:0)",841.59301,647.5973908,195.0034442,339.2894,383.352
"PG(40:1) PG(18:1_22:0)",855.60861,661.6129908,195.0034442,339.2894,397.3676
"PG(40:2) PG(18:1_22:1)",853.59301,659.5973908,195.0034442,339.2894,395.352
"PG(40:3) PG(18:1_22:2)",851.57731,657.5816908,195.0034442,339.2894,393.3363
"PG(40:4) PG(18:1_22:3)",849.56171,655.5660908,195.0034442,339.2894,391.3207
"PG(40:5) PG(18:1_22:4)",847.54601,653.5503908,195.0034442,339.2894,389.305
"PG(40:6) PG(18:1_22:5)",845.53041,651.5347908,195.0034442,339.2894,387.2894
"PG(40:7) PG(18:1_22:6)",843.51471,649.5190908,195.0034442,339.2894,385.2737
"PG(41:1) PG(18:1_23:0)",869.62431,675.6286908,195.0034442,339.2894,411.3833
"PG(42:1) PG(18:1_24:0)",883.63991,689.6442908,195.0034442,339.2894,425.3989
"PG(42:2) PG(18:1_24:1)",881.62431,687.6286908,195.0034442,339.2894,423.3833
"PG(43:1) PG(18:1_25:0)",897.65561,703.6599908,195.0034442,339.2894,439.4146
"PG(44:1) PG(18:1_26:0)",911.67121,717.6755908,195.0034442,339.2894,453.4302
"PG(36:4) PG(18:2_18:2)",793.49901,599.5033908,195.0034442,337.2737,337.2737
"PG(36:5) PG(18:2_18:3)",791.48341,597.4877908,195.0034442,337.2737,335.2581
"PG(36:6) PG(18:2_18:4)",789.46771,595.4720908,195.0034442,337.2737,333.2424
"PG(37:2) PG(18:2_19:0)",811.54601,617.5503908,195.0034442,337.2737,355.3207
"PG(38:2) PG(18:2_20:0)",825.56161,631.5659908,195.0034442,337.2737,369.3363
"PG(38:3) PG(18:2_20:1)",823.54601,629.5503908,195.0034442,337.2737,367.3207
"PG(38:4) PG(18:2_20:2)",821.53031,627.5346908,195.0034442,337.2737,365.305
"PG(38:5) PG(18:2_20:3)",819.51471,625.5190908,195.0034442,337.2737,363.2894
"PG(38:6) PG(18:2_20:4)",817.49901,623.5033908,195.0034442,337.2737,361.2737
"PG(38:7) PG(18:2_20:5)",815.48341,621.4877908,195.0034442,337.2737,359.2581
"PG(39:2) PG(18:2_21:0)",839.57731,645.5816908,195.0034442,337.2737,383.352
"PG(40:2) PG(18:2_22:0)",853.59291,659.5972908,195.0034442,337.2737,397.3676
"PG(40:3) PG(18:2_22:1)",851.57731,657.5816908,195.0034442,337.2737,395.352
"PG(40:4) PG(18:2_22:2)",849.56161,655.5659908,195.0034442,337.2737,393.3363
"PG(40:5) PG(18:2_22:3)",847.54601,653.5503908,195.0034442,337.2737,391.3207
"PG(40:6) PG(18:2_22:4)",845.53031,651.5346908,195.0034442,337.2737,389.305
"PG(40:7) PG(18:2_22:5)",843.51471,649.5190908,195.0034442,337.2737,387.2894
"PG(40:8) PG(18:2_22:6)",841.49901,647.5033908,195.0034442,337.2737,385.2737
"PG(41:2) PG(18:2_23:0)",867.60861,673.6129908,195.0034442,337.2737,411.3833
"PG(42:2) PG(18:2_24:0)",881.62421,687.6285908,195.0034442,337.2737,425.3989
"PG(42:3) PG(18:2_24:1)",879.60861,685.6129908,195.0034442,337.2737,423.3833
"PG(43:2) PG(18:2_25:0)",895.63991,701.6442908,195.0034442,337.2737,439.4146
"PG(44:2) PG(18:2_26:0)",909.65551,715.6598908,195.0034442,337.2737,453.4302
"PG(36:6) PG(18:3_18:3)",789.46781,595.4721908,195.0034442,335.2581,335.2581
"PG(36:7) PG(18:3_18:4)",787.45211,593.4564908,195.0034442,335.2581,333.2424
"PG(37:3) PG(18:3_19:0)",809.53041,615.5347908,195.0034442,335.2581,355.3207
"PG(38:3) PG(18:3_20:0)",823.54601,629.5503908,195.0034442,335.2581,369.3363
"PG(38:4) PG(18:3_20:1)",821.53041,627.5347908,195.0034442,335.2581,367.3207
