Plasmanyl-PE,[M+H]+,[M+H-PE]+,[M+H-acyl-sn2-RCO]+,[acyl-sn2-RCO]+,[acyl-sn2-RCOO+58]+
Plasmanyl-PE(O-16:0/10:0),594.44935,453.43024,299.29449,155.14305,229.17983
Plasmanyl-PE(O-16:0/12:0),622.48065,481.46154,299.29449,183.17435,257.21113
Plasmanyl-PE(O-16:0/13:0),636.49635,495.47724,299.29449,197.19005,271.22683
Plasmanyl-PE(O-16:0/14:0),650.51195,509.49284,299.29449,211.20565,285.24243
Plasmanyl-PE(O-16:0/14:1),648.49635,507.47724,299.29449,209.19005,283.22683
Plasmanyl-PE(O-16:0/15:0),664.52765,523.50854,299.29449,225.22135,299.25813
Plasmanyl-PE(O-16:0/15:1),662.51195,521.49284,299.29449,223.20565,297.24243
Plasmanyl-PE(O-16:0/16:0),678.54325,537.52414,299.29449,239.23695,313.27373
Plasmanyl-PE(O-16:0/16:1),676.52765,535.50854,299.29449,237.22135,311.25813
Plasmanyl-PE(O-16:0/17:0),692.55895,551.53984,299.29449,253.25265,327.28943
Plasmanyl-PE(O-16:0/17:1),690.54325,549.52414,299.29449,251.23695,325.27373
Plasmanyl-PE(O-16:0/17:2),688.52765,547.50854,299.29449,249.22135,323.25813
Plasmanyl-PE(O-16:0/18:0),706.57455,565.55544,299.29449,267.26825,341.30503
Plasmanyl-PE(O-16:0/18:1),704.55895,563.53984,299.29449,265.25265,339.28943
Plasmanyl-PE(O-16:0/18:2),702.54325,561.52414,299.29449,263.23695,337.27373
Plasmanyl-PE(O-16:0/18:3),700.52765,559.50854,299.29449,261.22135,335.25813
Plasmanyl-PE(O-16:0/18:4),698.51195,557.49284,299.29449,259.20565,333.24243
Plasmanyl-PE(O-16:0/19:0),720.59025,579.57114,299.29449,281.28395,355.32073
Plasmanyl-PE(O-16:0/20:0),734.60585,593.58674,299.29449,295.29955,369.33633
Plasmanyl-PE(O-16:0/20:1),732.59025,591.57114,299.29449,293.28395,367.32073
Plasmanyl-PE(O-16:0/20:2),730.57455,589.55544,299.29449,291.26825,365.30503
Plasmanyl-PE(O-16:0/20:3),728.55895,587.53984,299.29449,289.25265,363.28943
Plasmanyl-PE(O-16:0/20:4),726.54325,585.52414,299.29449,287.23695,361.27373
Plasmanyl-PE(O-16:0/20:5),724.52765,583.50854,299.29449,285.22135,359.25813
Plasmanyl-PE(O-16:0/21:0),748.62155,607.60244,299.29449,309.31525,383.35203
Plasmanyl-PE(O-16:0/22:0),762.63715,621.61804,299.29449,323.33085,397.36763
Plasmanyl-PE(O-16:0/22:1),760.62155,619.60244,299.29449,321.31525,395.35203
Plasmanyl-PE(O-16:0/22:2),758.60585,617.58674,299.29449,319.29955,393.33633
Plasmanyl-PE(O-16:0/22:3),756.59025,615.57114,299.29449,317.28395,391.32073
Plasmanyl-PE(O-16:0/22:4),754.57455,613.55544,299.29449,315.26825,389.30503
Plasmanyl-PE(O-16:0/22:5),752.55895,611.53984,299.29449,313.25265,387.28943
Plasmanyl-PE(O-16:0/22:6),750.54325,609.52414,299.29449,311.23695,385.27373
Plasmanyl-PE(O-16:0/23:0),776.65285,635.63374,299.29449,337.34655,411.38333
Plasmanyl-PE(O-16:0/24:0),790.66845,649.64934,299.29449,351.36215,425.39893
Plasmanyl-PE(O-16:0/24:1),788.65285,647.63374,299.29449,349.34655,423.38333
Plasmanyl-PE(O-16:0/25:0),804.68415,663.66504,299.29449,365.37785,439.41463
Plasmanyl-PE(O-16:0/26:0),818.69975,677.68064,299.29449,379.39345,453.43023
Plasmanyl-PE(O-16:0/8:0),566.41805,425.39894,299.29449,127.11175,201.14853
Plasmanyl-PE(O-18:0/10:0),622.48065,481.46154,327.32579,155.14305,229.17983
Plasmanyl-PE(O-18:0/12:0),650.51195,509.49284,327.32579,183.17435,257.21113
Plasmanyl-PE(O-18:0/13:0),664.52765,523.50854,327.32579,197.19005,271.22683
Plasmanyl-PE(O-18:0/14:0),678.54325,537.52414,327.32579,211.20565,285.24243
Plasmanyl-PE(O-18:0/14:1),676.52765,535.50854,327.32579,209.19005,283.22683
Plasmanyl-PE(O-18:0/15:0),692.55895,551.53984,327.32579,225.22135,299.25813
Plasmanyl-PE(O-18:0/15:1),690.54325,549.52414,327.32579,223.20565,297.24243
Plasmanyl-PE(O-18:0/16:0),706.57455,565.55544,327.32579,239.23695,313.27373
Plasmanyl-PE(O-18:0/16:1),704.55895,563.53984,327.32579,237.22135,311.25813
Plasmanyl-PE(O-18:0/17:0),720.59025,579.57114,327.32579,253.25265,327.28943
Plasmanyl-PE(O-18:0/17:1),718.57455,577.55544,327.32579,251.23695,325.27373
Plasmanyl-PE(O-18:0/17:2),716.55895,575.53984,327.32579,249.22135,323.25813
Plasmanyl-PE(O-18:0/18:0),734.60585,593.58674,327.32579,267.26825,341.30503
Plasmanyl-PE(O-18:0/18:1),732.59025,591.57114,327.32579,265.25265,339.28943
Plasmanyl-PE(O-18:0/18:2),730.57455,589.55544,327.32579,263.23695,337.27373
Plasmanyl-PE(O-18:0/18:3),728.55895,587.53984,327.32579,261.22135,335.25813
Plasmanyl-PE(O-18:0/18:4),726.54325,585.52414,327.32579,259.20565,333.24243
Plasmanyl-PE(O-18:0/19:0),748.62155,607.60244,327.32579,281.28395,355.32073
Plasmanyl-PE(O-18:0/20:0),762.63715,621.61804,327.32579,295.29955,369.33633
Plasmanyl-PE(O-18:0/20:1),760.62155,619.60244,327.32579,293.28395,367.32073
Plasmanyl-PE(O-18:0/20:2),758.60585,617.58674,327.32579,291.26825,365.30503
Plasmanyl-PE(O-18:0/20:3),756.59025,615.57114,327.32579,289.25265,363.28943
Plasmanyl-PE(O-18:0/20:4),754.57455,613.55544,327.32579,287.23695,361.27373
Plasmanyl-PE(O-18:0/20:5),752.55895,611.53984,327.32579,285.22135,359.25813
Plasmanyl-PE(O-18:0/21:0),776.65285,635.63374,327.32579,309.31525,383.35203
Plasmanyl-PE(O-18:0/22:0),790.66845,649.64934,327.32579,323.33085,397.36763
Plasmanyl-PE(O-18:0/22:1),788.65285,647.63374,327.32579,321.31525,395.35203
Plasmanyl-PE(O-18:0/22:2),786.63715,645.61804,327.32579,319.29955,393.33633
Plasmanyl-PE(O-18:0/22:3),784.62155,643.60244,327.32579,317.28395,391.32073
Plasmanyl-PE(O-18:0/22:4),782.60585,641.58674,327.32579,315.26825,389.30503
Plasmanyl-PE(O-18:0/22:5),780.59025,639.57114,327.32579,313.25265,387.28943
Plasmanyl-PE(O-18:0/22:6),778.57455,637.55544,327.32579,311.23695,385.27373
Plasmanyl-PE(O-18:0/23:0),804.68415,663.66504,327.32579,337.34655,411.38333
Plasmanyl-PE(O-18:0/24:0),818.69975,677.68064,327.32579,351.36215,425.39893
Plasmanyl-PE(O-18:0/24:1),816.68415,675.66504,327.32579,349.34655,423.38333
Plasmanyl-PE(O-18:0/25:0),832.71545,691.69634,327.32579,365.37785,439.41463
Plasmanyl-PE(O-18:0/26:0),846.73105,705.71194,327.32579,379.39345,453.43023
Plasmanyl-PE(O-18:0/8:0),594.44935,453.43024,327.32579,127.11175,201.14853
Plasmanyl-PE(O-20:0/10:0),650.51195,509.49284,355.35709,155.14305,229.17983
Plasmanyl-PE(O-20:0/12:0),678.54325,537.52414,355.35709,183.17435,257.21113
Plasmanyl-PE(O-20:0/13:0),692.55895,551.53984,355.35709,197.19005,271.22683
Plasmanyl-PE(O-20:0/14:0),706.57455,565.55544,355.35709,211.20565,285.24243
Plasmanyl-PE(O-20:0/14:1),704.55895,563.53984,355.35709,209.19005,283.22683
Plasmanyl-PE(O-20:0/15:0),720.59025,579.57114,355.35709,225.22135,299.25813
Plasmanyl-PE(O-20:0/15:1),718.57455,577.55544,355.35709,223.20565,297.24243
Plasmanyl-PE(O-20:0/16:0),734.60585,593.58674,355.35709,239.23695,313.27373
Plasmanyl-PE(O-20:0/16:1),732.59025,591.57114,355.35709,237.22135,311.25813
Plasmanyl-PE(O-20:0/17:0),748.62155,607.60244,355.35709,253.25265,327.28943
Plasmanyl-PE(O-20:0/17:1),746.60585,605.58674,355.35709,251.23695,325.27373
Plasmanyl-PE(O-20:0/17:2),744.59025,603.57114,355.35709,249.22135,323.25813
Plasmanyl-PE(O-20:0/18:0),762.63715,621.61804,355.35709,267.26825,341.30503
Plasmanyl-PE(O-20:0/18:1),760.62155,619.60244,355.35709,265.25265,339.28943
Plasmanyl-PE(O-20:0/18:2),758.60585,617.58674,355.35709,263.23695,337.27373
Plasmanyl-PE(O-20:0/18:3),756.59025,615.57114,355.35709,261.22135,335.25813
Plasmanyl-PE(O-20:0/18:4),754.57455,613.55544,355.35709,259.20565,333.24243
Plasmanyl-PE(O-20:0/19:0),776.65285,635.63374,355.35709,281.28395,355.32073
Plasmanyl-PE(O-20:0/20:0),790.66845,649.64934,355.35709,295.29955,369.33633
Plasmanyl-PE(O-20:0/20:1),788.65285,647.63374,355.35709,293.28395,367.32073
Plasmanyl-PE(O-20:0/20:2),786.63715,645.61804,355.35709,291.26825,365.30503
Plasmanyl-PE(O-20:0/20:3),784.62155,643.60244,355.35709,289.25265,363.28943
Plasmanyl-PE(O-20:0/20:4),782.60585,641.58674,355.35709,287.23695,361.27373
Plasmanyl-PE(O-20:0/20:5),780.59025,639.57114,355.35709,285.22135,359.25813
Plasmanyl-PE(O-20:0/21:0),804.68415,663.66504,355.35709,309.31525,383.35203
Plasmanyl-PE(O-20:0/22:0),818.69975,677.68064,355.35709,323.33085,397.36763
Plasmanyl-PE(O-20:0/22:1),816.68415,675.66504,355.35709,321.31525,395.35203
Plasmanyl-PE(O-20:0/22:2),814.66845,673.64934,355.35709,319.29955,393.33633
Plasmanyl-PE(O-20:0/22:3),812.65285,671.63374,355.35709,317.28395,391.32073
Plasmanyl-PE(O-20:0/22:4),810.63715,669.61804,355.35709,315.26825,389.30503
Plasmanyl-PE(O-20:0/22:5),808.62155,667.60244,355.35709,313.25265,387.28943
Plasmanyl-PE(O-20:0/22:6),806.60585,665.58674,355.35709,311.23695,385.27373
Plasmanyl-PE(O-20:0/23:0),832.71545,691.69634,355.35709,337.34655,411.38333
Plasmanyl-PE(O-20:0/24:0),846.73105,705.71194,355.35709,351.36215,425.39893
Plasmanyl-PE(O-20:0/24:1),844.71545,703.69634,355.35709,349.34655,423.38333
Plasmanyl-PE(O-20:0/25:0),860.74675,719.72764,355.35709,365.37785,439.41463
Plasmanyl-PE(O-20:0/26:0),874.76235,733.74324,355.35709,379.39345,453.43023
Plasmanyl-PE(O-20:0/8:0),622.48065,481.46154,355.35709,127.11175,201.14853
scores,0.033333333,0.45,0.45,0.033333333,0.033333333
